TAZ,BLKGRPCE,STATEFP,COUNTYFP,TRACT,GEOID,NAME,NAMELSAD,PUMA,REGION
263,1,49,57,201900,49057201900,2019,Census Tract 2019,57001,1
264,1,49,57,201900,49057201900,2019,Census Tract 2019,57001,1
265,1,49,57,210504,49057210504,2105.04,Census Tract 2105.04,57001,1
266,1,49,57,210504,49057210504,2105.04,Census Tract 2105.04,57001,1
267,1,49,57,210504,49057210504,2105.04,Census Tract 2105.04,57001,1
268,1,49,57,210504,49057210504,2105.04,Census Tract 2105.04,57001,1
269,2,49,57,210504,49057210504,2105.04,Census Tract 2105.04,57001,1
270,2,49,57,210504,49057210504,2105.04,Census Tract 2105.04,57001,1
271,2,49,57,210504,49057210504,2105.04,Census Tract 2105.04,57001,1
272,3,49,57,210504,49057210504,2105.04,Census Tract 2105.04,57001,1
273,3,49,57,210504,49057210504,2105.04,Census Tract 2105.04,57001,1
274,3,49,57,210504,49057210504,2105.04,Census Tract 2105.04,57001,1
275,3,49,57,210504,49057210504,2105.04,Census Tract 2105.04,57001,1
276,1,49,57,210506,49057210506,2105.06,Census Tract 2105.06,57001,1
277,1,49,57,210506,49057210506,2105.06,Census Tract 2105.06,57001,1
278,1,49,57,210506,49057210506,2105.06,Census Tract 2105.06,57001,1
279,2,49,57,210506,49057210506,2105.06,Census Tract 2105.06,57001,1
280,3,49,57,210506,49057210506,2105.06,Census Tract 2105.06,57001,1
281,1,49,57,210600,49057210600,2106,Census Tract 2106,57001,1
282,2,49,57,210600,49057210600,2106,Census Tract 2106,57001,1
283,5,49,57,210600,49057210600,2106,Census Tract 2106,57001,1
284,4,49,57,210600,49057210600,2106,Census Tract 2106,57001,1
285,3,49,57,210600,49057210600,2106,Census Tract 2106,57001,1
286,1,49,57,210509,49057210509,2105.09,Census Tract 2105.09,57001,1
287,2,49,57,210509,49057210509,2105.09,Census Tract 2105.09,57001,1
288,1,49,57,210508,49057210508,2105.08,Census Tract 2105.08,57001,1
289,1,49,57,210510,49057210510,2105.1,Census Tract 2105.10,57001,1
290,1,49,57,210510,49057210510,2105.1,Census Tract 2105.10,57001,1
